Tid (s), Effekt (P)
4.30000000e-02,3.83688000e-02
4.32000000e-02,3.83688000e-02
4.34000000e-02,3.83688000e-02
4.36000000e-02,3.83688000e-02
4.38000000e-02,3.83688000e-02
4.40000000e-02,3.83688000e-02
4.42000000e-02,3.83688000e-02
4.44000000e-02,3.83688000e-02
4.46000000e-02,3.83688000e-02
4.48000000e-02,3.83688000e-02
4.50000000e-02,3.83688000e-02
4.52000000e-02,3.83688000e-02
4.54000000e-02,3.83688000e-02
4.56000000e-02,3.83688000e-02
4.58000000e-02,3.83688000e-02
4.60000000e-02,3.83688000e-02
4.62000000e-02,3.83688000e-02
4.64000000e-02,3.83688000e-02
4.66000000e-02,3.83688000e-02
4.68000000e-02,3.83688000e-02
4.70000000e-02,3.83688000e-02
4.72000000e-02,3.83688000e-02
4.74000000e-02,3.83688000e-02
4.76000000e-02,3.83688000e-02
4.78000000e-02,3.83688000e-02
4.80000000e-02,3.83688000e-02
4.82000000e-02,3.83688000e-02
4.84000000e-02,3.83688000e-02
4.86000000e-02,3.83688000e-02
4.88000000e-02,3.83688000e-02
4.90000000e-02,3.83688000e-02
4.92000000e-02,3.83688000e-02
4.94000000e-02,3.83688000e-02
4.96000000e-02,3.83688000e-02
4.98000000e-02,3.83688000e-02
5.00000000e-02,3.83688000e-02
5.02000000e-02,3.83688000e-02
5.04000000e-02,3.83688000e-02
5.06000000e-02,3.83688000e-02
5.08000000e-02,3.83688000e-02
5.10000000e-02,3.83688000e-02
5.12000000e-02,3.83688000e-02
5.14000000e-02,3.83688000e-02
5.16000000e-02,3.83688000e-02
5.18000000e-02,3.83688000e-02
5.20000000e-02,3.83688000e-02
5.22000000e-02,3.83688000e-02
5.24000000e-02,3.83688000e-02
5.26000000e-02,3.83688000e-02
5.28000000e-02,3.83688000e-02
5.30000000e-02,3.83688000e-02
5.32000000e-02,3.83688000e-02
5.34000000e-02,3.83688000e-02
5.36000000e-02,3.83688000e-02
5.38000000e-02,3.83688000e-02
5.40000000e-02,3.83688000e-02
5.42000000e-02,3.83688000e-02
5.44000000e-02,3.83688000e-02
5.46000000e-02,3.83688000e-02
5.48000000e-02,3.83688000e-02
5.50000000e-02,3.83688000e-02
5.52000000e-02,3.83688000e-02
5.54000000e-02,3.83688000e-02
5.56000000e-02,3.83688000e-02
5.58000000e-02,3.83688000e-02
5.60000000e-02,3.83688000e-02
5.62000000e-02,3.83688000e-02
5.64000000e-02,3.83688000e-02
5.66000000e-02,3.83688000e-02
5.68000000e-02,3.83688000e-02
5.70000000e-02,3.83688000e-02
5.72000000e-02,3.83688000e-02
5.74000000e-02,3.83688000e-02
5.76000000e-02,3.83688000e-02
5.78000000e-02,3.83688000e-02
5.80000000e-02,3.83688000e-02
5.82000000e-02,3.83688000e-02
5.84000000e-02,3.83688000e-02
5.86000000e-02,3.83688000e-02
5.88000000e-02,3.83688000e-02
5.90000000e-02,3.83688000e-02
5.92000000e-02,3.83688000e-02
5.94000000e-02,3.83688000e-02
5.96000000e-02,3.83688000e-02
5.98000000e-02,3.83688000e-02
6.00000000e-02,3.83688000e-02
6.02000000e-02,3.83688000e-02
6.04000000e-02,3.83688000e-02
6.06000000e-02,3.83688000e-02
6.08000000e-02,3.83688000e-02
6.10000000e-02,3.83688000e-02
6.12000000e-02,3.83688000e-02
6.14000000e-02,3.83688000e-02
6.16000000e-02,3.83688000e-02
6.18000000e-02,3.83688000e-02
6.20000000e-02,3.83688000e-02
6.22000000e-02,3.83688000e-02
6.24000000e-02,3.83688000e-02
6.26000000e-02,3.83688000e-02
6.28000000e-02,3.83688000e-02
6.30000000e-02,3.83688000e-02
6.32000000e-02,3.83688000e-02
6.34000000e-02,3.83688000e-02
6.36000000e-02,3.83688000e-02
6.38000000e-02,3.83688000e-02
6.40000000e-02,3.83688000e-02
6.42000000e-02,3.83688000e-02
6.44000000e-02,3.83688000e-02
6.46000000e-02,3.83688000e-02
6.48000000e-02,3.83688000e-02
6.50000000e-02,3.83688000e-02
6.52000000e-02,3.83688000e-02
6.54000000e-02,3.83688000e-02
6.56000000e-02,3.83688000e-02
6.58000000e-02,3.83688000e-02
6.60000000e-02,3.83688000e-02
6.62000000e-02,3.83688000e-02
6.64000000e-02,3.83688000e-02
6.66000000e-02,3.83688000e-02
6.68000000e-02,3.83688000e-02
6.70000000e-02,3.83688000e-02
6.72000000e-02,3.83688000e-02
6.74000000e-02,3.83688000e-02
6.76000000e-02,3.83688000e-02
6.78000000e-02,3.83688000e-02
6.80000000e-02,3.83688000e-02
6.82000000e-02,3.83688000e-02
6.84000000e-02,3.83688000e-02
6.86000000e-02,3.83688000e-02
6.88000000e-02,3.83688000e-02
6.90000000e-02,3.83688000e-02
6.92000000e-02,3.83688000e-02
6.94000000e-02,3.83688000e-02
6.96000000e-02,3.83688000e-02
6.98000000e-02,3.83688000e-02
7.00000000e-02,3.83688000e-02
7.02000000e-02,3.83688000e-02
7.04000000e-02,3.83688000e-02
7.06000000e-02,3.83688000e-02
7.08000000e-02,3.83688000e-02
7.10000000e-02,3.83688000e-02
7.12000000e-02,3.83688000e-02
7.14000000e-02,3.83688000e-02
7.16000000e-02,3.83688000e-02
7.18000000e-02,3.83688000e-02
7.20000000e-02,3.83688000e-02
7.22000000e-02,3.83688000e-02
7.24000000e-02,3.83688000e-02
7.26000000e-02,3.83688000e-02
7.28000000e-02,3.83688000e-02
7.30000000e-02,3.83688000e-02
7.32000000e-02,3.83688000e-02
7.34000000e-02,3.83688000e-02
7.36000000e-02,3.83688000e-02
7.38000000e-02,3.83688000e-02
7.40000000e-02,3.83688000e-02
7.42000000e-02,3.83688000e-02
7.44000000e-02,3.83688000e-02
7.46000000e-02,3.83688000e-02
7.48000000e-02,3.83688000e-02
7.50000000e-02,3.83688000e-02
7.52000000e-02,3.83688000e-02
7.54000000e-02,3.83688000e-02
7.56000000e-02,3.83688000e-02
7.58000000e-02,3.83688000e-02
7.60000000e-02,3.83688000e-02
7.62000000e-02,3.83688000e-02
7.64000000e-02,3.83688000e-02
7.66000000e-02,3.83688000e-02
7.68000000e-02,3.83688000e-02
7.70000000e-02,3.83688000e-02
7.72000000e-02,3.83688000e-02
7.74000000e-02,3.83688000e-02
7.76000000e-02,3.83688000e-02
7.78000000e-02,3.83688000e-02
7.80000000e-02,3.83688000e-02
7.82000000e-02,3.83688000e-02
7.84000000e-02,3.83688000e-02
7.86000000e-02,3.83688000e-02
7.88000000e-02,3.83688000e-02
7.90000000e-02,3.83688000e-02
7.92000000e-02,3.83688000e-02
7.94000000e-02,3.83688000e-02
7.96000000e-02,3.83688000e-02
7.98000000e-02,3.83688000e-02
8.00000000e-02,3.83688000e-02
8.02000000e-02,3.83688000e-02
8.04000000e-02,3.83688000e-02
8.06000000e-02,3.83688000e-02
8.08000000e-02,3.83688000e-02
8.10000000e-02,3.83688000e-02
8.12000000e-02,3.83688000e-02
8.14000000e-02,3.83688000e-02
8.16000000e-02,3.83688000e-02
8.18000000e-02,3.83688000e-02
8.20000000e-02,3.83688000e-02
8.22000000e-02,3.83688000e-02
8.24000000e-02,3.83688000e-02
8.26000000e-02,3.83688000e-02
8.28000000e-02,3.83688000e-02
8.30000000e-02,3.83688000e-02
8.32000000e-02,3.83688000e-02
8.34000000e-02,3.83688000e-02
8.36000000e-02,3.83688000e-02
8.38000000e-02,3.83688000e-02
8.40000000e-02,3.83688000e-02
8.42000000e-02,3.83688000e-02
8.44000000e-02,3.83688000e-02
8.46000000e-02,3.83688000e-02
8.48000000e-02,3.83688000e-02
8.50000000e-02,3.83688000e-02
8.52000000e-02,3.83688000e-02
8.54000000e-02,3.83688000e-02
8.56000000e-02,3.83688000e-02
8.58000000e-02,3.83688000e-02
8.60000000e-02,3.83688000e-02
8.62000000e-02,3.83688000e-02
8.64000000e-02,3.83688000e-02
8.66000000e-02,3.83688000e-02
8.68000000e-02,3.83688000e-02
8.70000000e-02,3.83688000e-02
8.72000000e-02,3.83688000e-02
8.74000000e-02,3.83688000e-02
8.76000000e-02,3.83688000e-02
8.78000000e-02,3.83688000e-02
8.80000000e-02,3.83688000e-02
8.82000000e-02,3.83688000e-02
8.84000000e-02,3.83688000e-02
8.86000000e-02,3.83688000e-02
8.88000000e-02,3.83688000e-02
8.90000000e-02,3.83688000e-02
8.92000000e-02,3.83688000e-02
8.94000000e-02,3.83688000e-02
8.96000000e-02,3.83688000e-02
8.98000000e-02,3.83688000e-02
9.00000000e-02,3.83688000e-02
9.02000000e-02,3.83688000e-02
9.04000000e-02,3.83688000e-02
9.06000000e-02,3.83688000e-02
9.08000000e-02,3.83688000e-02
9.10000000e-02,3.83688000e-02
9.12000000e-02,3.83688000e-02
9.14000000e-02,3.83688000e-02
9.16000000e-02,3.83688000e-02
9.18000000e-02,3.83688000e-02
9.20000000e-02,3.83688000e-02
9.22000000e-02,3.83688000e-02
9.24000000e-02,3.83688000e-02
9.26000000e-02,3.83688000e-02
9.28000000e-02,3.83688000e-02
9.30000000e-02,3.83688000e-02
9.32000000e-02,3.83688000e-02
9.34000000e-02,3.83688000e-02
9.36000000e-02,3.83688000e-02
9.38000000e-02,3.83688000e-02
9.40000000e-02,3.83688000e-02
9.42000000e-02,3.83688000e-02
9.44000000e-02,3.83688000e-02
9.46000000e-02,3.83688000e-02
9.48000000e-02,3.83688000e-02
9.50000000e-02,3.83688000e-02
9.52000000e-02,3.83688000e-02
9.54000000e-02,3.83688000e-02
9.56000000e-02,3.83688000e-02
9.58000000e-02,3.83688000e-02
9.60000000e-02,3.83688000e-02
9.62000000e-02,3.83688000e-02
9.64000000e-02,3.83688000e-02
9.66000000e-02,3.83688000e-02
9.68000000e-02,3.83688000e-02
9.70000000e-02,3.83688000e-02
9.72000000e-02,3.83688000e-02
9.74000000e-02,3.83688000e-02
9.76000000e-02,3.83688000e-02
9.78000000e-02,3.83688000e-02
9.80000000e-02,3.83688000e-02
9.82000000e-02,3.83688000e-02
9.84000000e-02,3.83688000e-02
9.86000000e-02,3.83688000e-02
9.88000000e-02,3.83688000e-02
9.90000000e-02,3.83688000e-02
9.92000000e-02,3.83688000e-02
9.94000000e-02,3.83688000e-02
9.96000000e-02,3.83688000e-02
9.98000000e-02,3.83688000e-02
1.00000000e-01,3.83688000e-02
1.00200000e-01,3.83688000e-02
1.00400000e-01,3.83688000e-02
1.00600000e-01,3.83688000e-02
1.00800000e-01,3.83688000e-02
1.01000000e-01,3.83688000e-02
1.01200000e-01,3.83688000e-02
1.01400000e-01,3.83688000e-02
1.01600000e-01,3.83688000e-02
1.01800000e-01,3.83688000e-02
1.02000000e-01,3.83688000e-02
1.02200000e-01,3.83688000e-02
1.02400000e-01,3.83688000e-02
1.02600000e-01,3.83688000e-02
1.02800000e-01,3.83688000e-02
1.03000000e-01,3.83688000e-02
1.03200000e-01,3.83688000e-02
1.03400000e-01,3.83688000e-02
1.03600000e-01,3.83688000e-02
1.03800000e-01,3.83688000e-02
1.04000000e-01,3.83688000e-02
1.04200000e-01,3.83688000e-02
1.04400000e-01,3.83688000e-02
1.04600000e-01,3.83688000e-02
1.04800000e-01,3.83688000e-02
1.05000000e-01,3.83688000e-02
1.05200000e-01,3.83688000e-02
1.05400000e-01,3.83688000e-02
1.05600000e-01,3.83688000e-02
1.05800000e-01,3.83688000e-02
1.06000000e-01,3.83688000e-02
1.06200000e-01,3.83688000e-02
1.06400000e-01,3.83688000e-02
1.06600000e-01,3.83688000e-02
1.06800000e-01,3.83688000e-02
1.07000000e-01,3.83688000e-02
1.07200000e-01,3.83688000e-02
1.07400000e-01,3.83688000e-02
1.07600000e-01,3.83688000e-02
1.07800000e-01,3.83688000e-02
1.08000000e-01,3.83688000e-02
1.08200000e-01,3.83688000e-02
1.08400000e-01,3.83688000e-02
1.08600000e-01,3.83688000e-02
1.08800000e-01,3.83688000e-02
1.09000000e-01,3.83688000e-02
1.09200000e-01,3.83688000e-02
1.09400000e-01,3.83688000e-02
1.09600000e-01,3.83688000e-02
1.09800000e-01,3.83688000e-02
1.10000000e-01,3.83688000e-02
1.10200000e-01,3.83688000e-02
1.10400000e-01,3.83688000e-02
1.10600000e-01,3.83688000e-02
1.10800000e-01,3.83688000e-02
1.11000000e-01,3.83688000e-02
1.11200000e-01,3.83688000e-02
1.11400000e-01,3.83688000e-02
1.11600000e-01,3.83688000e-02
1.11800000e-01,3.83688000e-02
1.12000000e-01,3.83688000e-02
1.12200000e-01,3.83688000e-02
1.12400000e-01,3.83688000e-02
1.12600000e-01,3.83688000e-02
1.12800000e-01,3.83688000e-02
1.13000000e-01,3.83688000e-02
1.13200000e-01,3.83688000e-02
1.13400000e-01,3.83688000e-02
1.13600000e-01,3.83688000e-02
1.13800000e-01,3.83688000e-02
1.14000000e-01,3.83688000e-02
1.14200000e-01,3.83688000e-02
1.14400000e-01,3.83688000e-02
1.14600000e-01,3.83688000e-02
1.14800000e-01,3.83688000e-02
1.15000000e-01,3.83688000e-02
1.15200000e-01,3.83688000e-02
1.15400000e-01,3.83688000e-02
1.15600000e-01,3.83688000e-02
1.15800000e-01,3.83688000e-02
1.16000000e-01,3.83688000e-02
1.16200000e-01,3.83688000e-02
1.16400000e-01,3.83688000e-02
1.16600000e-01,3.83688000e-02
1.16800000e-01,3.83688000e-02
1.17000000e-01,3.83688000e-02
1.17200000e-01,3.83688000e-02
1.17400000e-01,3.83688000e-02
1.17600000e-01,3.83688000e-02
1.17800000e-01,3.83688000e-02
1.18000000e-01,3.83688000e-02
1.18200000e-01,3.83688000e-02
1.18400000e-01,3.83688000e-02
1.18600000e-01,3.83688000e-02
1.18800000e-01,3.83688000e-02
1.19000000e-01,3.83688000e-02
1.19200000e-01,3.83688000e-02
1.19400000e-01,3.83688000e-02
1.19600000e-01,3.83688000e-02
1.19800000e-01,3.83688000e-02
1.20000000e-01,3.83688000e-02
1.20200000e-01,3.83688000e-02
1.20400000e-01,3.83688000e-02
1.20600000e-01,3.83688000e-02
1.20800000e-01,3.83688000e-02
1.21000000e-01,3.83688000e-02
1.21200000e-01,3.83688000e-02
1.21400000e-01,3.83688000e-02
1.21600000e-01,3.83688000e-02
1.21800000e-01,3.83688000e-02
1.22000000e-01,3.83688000e-02
1.22200000e-01,3.83688000e-02
1.22400000e-01,3.83688000e-02
1.22600000e-01,3.83688000e-02
1.22800000e-01,3.83688000e-02
1.23000000e-01,3.83688000e-02
1.23200000e-01,3.83688000e-02
1.23400000e-01,3.83688000e-02
1.23600000e-01,3.83688000e-02
1.23800000e-01,3.83688000e-02
1.24000000e-01,3.83688000e-02
1.24200000e-01,3.83688000e-02
1.24400000e-01,3.83688000e-02
1.24600000e-01,3.83688000e-02
1.24800000e-01,3.83688000e-02
1.25000000e-01,3.83688000e-02
1.25200000e-01,3.83688000e-02
1.25400000e-01,3.83688000e-02
1.25600000e-01,3.83688000e-02
1.25800000e-01,3.83688000e-02
1.26000000e-01,3.83688000e-02
1.26200000e-01,3.83688000e-02
1.26400000e-01,3.83688000e-02
1.26600000e-01,3.83688000e-02
1.26800000e-01,3.83688000e-02
1.27000000e-01,3.83688000e-02
1.27200000e-01,3.83688000e-02
1.27400000e-01,3.83688000e-02
1.27600000e-01,3.83688000e-02
1.27800000e-01,3.83688000e-02
1.28000000e-01,3.83688000e-02
1.28200000e-01,3.83688000e-02
1.28400000e-01,3.83688000e-02
1.28600000e-01,3.83688000e-02
1.28800000e-01,3.83688000e-02
1.29000000e-01,3.83688000e-02
1.29200000e-01,3.83688000e-02
1.29400000e-01,3.83688000e-02
1.29600000e-01,3.83688000e-02
1.29800000e-01,3.83688000e-02
1.30000000e-01,3.83688000e-02
1.30200000e-01,3.83688000e-02
1.30400000e-01,3.83688000e-02
1.30600000e-01,3.83688000e-02
1.30800000e-01,3.83688000e-02
1.31000000e-01,3.83688000e-02
1.31200000e-01,3.83688000e-02
1.31400000e-01,3.83688000e-02
1.31600000e-01,3.83688000e-02
1.31800000e-01,3.83688000e-02
1.32000000e-01,3.83688000e-02
1.32200000e-01,3.83688000e-02
1.32400000e-01,3.83688000e-02
1.32600000e-01,3.83688000e-02
1.32800000e-01,3.83688000e-02
1.33000000e-01,3.83688000e-02
1.33200000e-01,3.83688000e-02
1.33400000e-01,3.83688000e-02
1.33600000e-01,3.83688000e-02
1.33800000e-01,3.83688000e-02
1.34000000e-01,3.83688000e-02
1.34200000e-01,3.83688000e-02
1.34400000e-01,3.83688000e-02
1.34600000e-01,3.83688000e-02
1.34800000e-01,3.83688000e-02
1.35000000e-01,3.83688000e-02
1.35200000e-01,3.83688000e-02
1.35400000e-01,3.83688000e-02
1.35600000e-01,3.83688000e-02
1.35800000e-01,3.83688000e-02
1.36000000e-01,3.83688000e-02
1.36200000e-01,3.83688000e-02
1.36400000e-01,3.83688000e-02
1.36600000e-01,3.83688000e-02
1.36800000e-01,3.83688000e-02
1.37000000e-01,3.83688000e-02
1.37200000e-01,3.83688000e-02
1.37400000e-01,3.83688000e-02
1.37600000e-01,3.83688000e-02
1.37800000e-01,3.83688000e-02
1.38000000e-01,3.83688000e-02
1.38200000e-01,3.83688000e-02
1.38400000e-01,3.83688000e-02
1.38600000e-01,3.83688000e-02
1.38800000e-01,3.83688000e-02
1.39000000e-01,3.83688000e-02
1.39200000e-01,3.83688000e-02
1.39400000e-01,3.83688000e-02
1.39600000e-01,3.83688000e-02
1.39800000e-01,3.83688000e-02
1.40000000e-01,3.83688000e-02
1.40200000e-01,3.83688000e-02
1.40400000e-01,3.83688000e-02
1.40600000e-01,3.83688000e-02
1.40800000e-01,3.83688000e-02
1.41000000e-01,3.83688000e-02
1.41200000e-01,3.83688000e-02
1.41400000e-01,3.83688000e-02
1.41600000e-01,3.83688000e-02
1.41800000e-01,3.83688000e-02
1.42000000e-01,3.83688000e-02
1.42200000e-01,3.83688000e-02
1.42400000e-01,3.83688000e-02
1.42600000e-01,3.83688000e-02
1.42800000e-01,3.83688000e-02
1.43000000e-01,3.83688000e-02
1.43200000e-01,3.83688000e-02
1.43400000e-01,3.83688000e-02
1.43600000e-01,3.83688000e-02
1.43800000e-01,3.83688000e-02
1.44000000e-01,3.83688000e-02
1.44200000e-01,3.83688000e-02
1.44400000e-01,3.83688000e-02
1.44600000e-01,3.83688000e-02
1.44800000e-01,3.83688000e-02
1.45000000e-01,3.83688000e-02
1.45200000e-01,3.83688000e-02
1.45400000e-01,3.83688000e-02
1.45600000e-01,3.83688000e-02
1.45800000e-01,3.83688000e-02
1.46000000e-01,3.83688000e-02
1.46200000e-01,3.83688000e-02
1.46400000e-01,3.83688000e-02
1.46600000e-01,3.83688000e-02
1.46800000e-01,3.83688000e-02
1.47000000e-01,3.83688000e-02
1.47200000e-01,3.83688000e-02
1.47400000e-01,3.83688000e-02
1.47600000e-01,3.83688000e-02
1.47800000e-01,3.83688000e-02
1.48000000e-01,3.83688000e-02
1.48200000e-01,3.83688000e-02
1.48400000e-01,3.83688000e-02
1.48600000e-01,3.83688000e-02
1.48800000e-01,3.83688000e-02
1.49000000e-01,3.83688000e-02
1.49200000e-01,3.83688000e-02
1.49400000e-01,3.83688000e-02
1.49600000e-01,3.83688000e-02
1.49800000e-01,3.83688000e-02
1.50000000e-01,3.83688000e-02
1.50200000e-01,3.83688000e-02
1.50400000e-01,3.83688000e-02
1.50600000e-01,3.83688000e-02
1.50800000e-01,3.83688000e-02
1.51000000e-01,3.83688000e-02
1.51200000e-01,3.83688000e-02
1.51400000e-01,3.83688000e-02
1.51600000e-01,3.83688000e-02
1.51800000e-01,3.83688000e-02
1.52000000e-01,3.83688000e-02
1.52200000e-01,3.83688000e-02
1.52400000e-01,3.83688000e-02
1.52600000e-01,3.83688000e-02
1.52800000e-01,3.83688000e-02
1.53000000e-01,3.83688000e-02
1.53200000e-01,3.83688000e-02
1.53400000e-01,3.83688000e-02
1.53600000e-01,3.83688000e-02
1.53800000e-01,3.83688000e-02
1.54000000e-01,3.83688000e-02
1.54200000e-01,3.83688000e-02
1.54400000e-01,3.83688000e-02
1.54600000e-01,3.83688000e-02
1.54800000e-01,3.83688000e-02
1.55000000e-01,3.83688000e-02
1.55200000e-01,3.83688000e-02
